Sequence,Label,NCL,Query Budget,Num Sample Nodes,Fidelity,Gamma
"[101, 5, 32, 168, 211, 45, 115, 97]",1,,15.0,37.0,0.50199203187251,3.0
"[236, 5, 32, 168, 211, 45, 115, 97]",1,,15.0,50.0,0.5219123505976095,3.0
"[2, 243, 20, 54, 170, 35, 62, 165, 119, 46, 159, 129, 149, 6]",1,,25.0,25.0,0.5338645418326693,3.0
"[54, 2, 129, 165, 119, 170, 46, 159, 243, 20]",1,10.0,10.0,12.0,0.5298804780876494,
"[3, 204, 5, 32, 66, 12, 190, 168, 49, 45]",1,10.0,10.0,25.0,0.5298804780876494,
"[69, 29, 226, 41, 126, 68, 207, 122, 173, 178]",1,10.0,10.0,37.0,0.5099601593625498,
"[129, 119, 46, 54, 2, 165, 35, 20, 243, 170]",1,10.0,10.0,50.0,0.5298804780876494,
[133],1,10.0,20.0,25.0,0.50199203187251,
[104],1,10.0,20.0,37.0,0.50199203187251,
"[82, 25, 113]",0,10.0,20.0,50.0,0.17131474103585656,
[76],1,10.0,30.0,37.0,0.50199203187251,
"[22, 21]",1,10.0,40.0,50.0,0.5537848605577689,
"[207, 140, 39, 173, 51, 208, 201, 29, 126, 68, 241, 122, 69, 182, 26, 178, 41, 226, 65, 44, 31, 8, 180, 9]",1,10.0,50.0,50.0,0.50199203187251,
[100],0,12.0,10.0,12.0,0.0199203187250996,
[230],1,12.0,10.0,37.0,0.50199203187251,
"[35, 170, 165, 149, 2, 129, 159, 54, 20, 119]",1,12.0,10.0,50.0,0.5139442231075697,
[95],1,12.0,20.0,25.0,0.50199203187251,
[19],1,12.0,20.0,37.0,0.50199203187251,
"[3, 168, 66, 211, 32, 5, 45, 97, 57, 115, 52, 190, 204, 49]",1,12.0,20.0,50.0,0.5139442231075697,
[15],1,12.0,30.0,37.0,0.50199203187251,
[174],1,12.0,30.0,50.0,0.50199203187251,
[124],1,12.0,50.0,50.0,0.50199203187251,
"[168, 97, 45, 32, 101, 211, 115, 5]",1,14.0,10.0,12.0,0.5139442231075697,
[174],1,14.0,10.0,25.0,0.50199203187251,
[72],1,14.0,10.0,37.0,0.50199203187251,
"[20, 35, 54, 129, 46, 149, 170, 119, 2, 165]",1,14.0,10.0,50.0,0.5378486055776892,
"[49, 168, 204, 57, 45, 32, 3, 12, 5, 211, 97, 183, 147, 231, 75, 115, 190, 214, 184, 152]",1,14.0,20.0,50.0,0.5059760956175299,
[218],0,14.0,30.0,37.0,0.11952191235059761,
"[243, 165, 170, 6, 129, 149, 20, 119, 46, 54, 35, 159, 62, 2]",1,14.0,30.0,50.0,0.5418326693227091,
"[29, 226, 126, 69, 41, 68, 26, 207, 180, 122, 178, 208, 201, 173, 206, 171, 215, 65, 33, 8, 182]",1,14.0,40.0,50.0,0.5139442231075697,
"[168, 32, 5, 97, 45, 211, 115]",1,14.0,50.0,50.0,0.5338645418326693,
[135],0,16.0,10.0,25.0,0.0199203187250996,
"[120, 157, 121, 161, 42]",0,16.0,20.0,25.0,0.10756972111553785,
"[226, 29, 69, 208, 41, 126, 68, 173, 178, 122, 207, 26, 180, 65, 201, 8, 182]",1,16.0,20.0,37.0,0.5338645418326693,
"[243, 129, 119, 170, 165, 20, 149, 54, 6, 2, 46, 35, 159, 62, 83, 90]",1,16.0,20.0,50.0,0.5418326693227091,
"[32, 66, 5, 97, 168, 45, 211, 57, 204, 49, 3, 115, 30, 190, 52]",1,16.0,30.0,37.0,0.5418326693227091,
[77],1,16.0,30.0,50.0,0.50199203187251,
"[243, 165, 6, 170, 149, 20, 129, 119, 46, 35, 54, 159, 2, 62]",1,16.0,40.0,50.0,0.5099601593625498,
"[201, 207, 26, 208, 122, 173, 126, 178, 69, 241, 68, 29, 41, 226, 51, 180, 8, 162, 39, 182, 65]",1,16.0,50.0,50.0,0.5298804780876494,
[221],1,3.0,5.0,25.0,0.50199203187251,
[123],1,3.0,5.0,37.0,0.50199203187251,
"[207, 201, 69, 126, 29]",1,3.0,5.0,50.0,0.5378486055776892,
"[45, 97, 168, 211, 246, 32, 5, 115]",1,3.0,15.0,25.0,0.5258964143426295,
"[113, 25, 82]",0,3.0,15.0,37.0,0.1553784860557769,
[23],1,3.0,15.0,50.0,0.50199203187251,
[18],0,3.0,16.0,25.0,0.11952191235059761,
"[46, 129, 54, 119, 165, 149, 2, 170, 243, 62, 20, 159, 35, 6, 250]",1,3.0,16.0,37.0,0.5338645418326693,
[61],1,3.0,16.0,50.0,0.50199203187251,
[161],0,3.0,29.0,37.0,0.099601593625498,
[19],1,3.0,27.0,37.0,0.50199203187251,
[195],1,3.0,27.0,50.0,0.50199203187251,
"[106, 93]",0,3.0,36.0,37.0,0.17928286852589642,
"[159, 165, 129, 149, 119, 54, 2, 46, 20, 35, 170, 6, 62, 243]",1,3.0,36.0,50.0,0.5537848605577689,
[185],1,5.0,5.0,12.0,0.50199203187251,
[23],1,5.0,5.0,25.0,0.50199203187251,
[72],1,5.0,5.0,37.0,0.50199203187251,
"[45, 32, 5, 168, 97]",1,5.0,5.0,50.0,0.5338645418326693,
"[229, 148]",1,5.0,15.0,25.0,0.5258964143426295,
"[203, 74]",1,5.0,15.0,37.0,0.5537848605577689,
"[211, 97, 168, 45, 32, 115, 5]",1,5.0,15.0,50.0,0.5338645418326693,
[238],1,5.0,16.0,37.0,0.50199203187251,
"[168, 97, 5, 145, 38, 45, 211, 32, 115, 199, 84, 8]",1,5.0,29.0,37.0,0.5059760956175299,
"[158, 229, 148, 179]",1,5.0,29.0,50.0,0.5418326693227091,
[56],1,5.0,27.0,37.0,0.50199203187251,
"[45, 5, 32, 168, 167, 202, 211, 97, 115, 216, 89, 195]",1,5.0,36.0,37.0,0.5179282868525896,
[56],1,5.0,36.0,50.0,0.50199203187251,
"[231, 183, 37, 75, 160]",0,7.0,5.0,25.0,0.099601593625498,
[88],1,7.0,15.0,25.0,0.50199203187251,
"[3, 5, 32, 168, 204, 57, 66, 211, 190, 45, 97, 115, 49, 52, 64]",1,7.0,15.0,37.0,0.5179282868525896,
"[32, 97, 211, 5, 202, 167, 168, 45, 89, 216, 115, 223, 195]",1,7.0,16.0,25.0,0.5298804780876494,
"[211, 168, 97, 204, 32, 3, 45, 190, 66, 5, 115, 49, 57, 12, 225, 183]",1,7.0,16.0,37.0,0.5099601593625498,
[17],1,7.0,16.0,50.0,0.50199203187251,
"[53, 33, 195, 216]",1,7.0,29.0,37.0,0.50199203187251,
"[32, 97, 211, 5, 202, 167, 168, 45, 89, 216, 115, 223, 195]",1,7.0,27.0,50.0,0.5298804780876494,
"[232, 209, 160, 67, 61]",0,7.0,36.0,37.0,0.1394422310756972,
"[248, 132]",1,7.0,36.0,50.0,0.50199203187251,
"[35, 20, 243, 170, 2]",1,9.0,5.0,12.0,0.5258964143426295,
"[5, 168, 32, 45, 97]",1,9.0,5.0,25.0,0.5179282868525896,
[216],1,9.0,5.0,37.0,0.50199203187251,
[234],1,9.0,15.0,25.0,0.50199203187251,
"[171, 215]",1,9.0,15.0,50.0,0.5298804780876494,
[135],0,9.0,16.0,25.0,0.0199203187250996,
"[168, 211, 204, 3, 32, 97, 45, 190, 172, 5, 115, 66, 183, 57, 49, 225]",1,9.0,16.0,37.0,0.50199203187251,
"[3, 211, 66, 5, 32, 45, 97, 204, 168, 57, 49, 190, 115, 52]",1,9.0,16.0,50.0,0.5338645418326693,
[15],1,9.0,29.0,37.0,0.50199203187251,
[88],1,9.0,29.0,50.0,0.50199203187251,
[137],0,9.0,27.0,37.0,0.11952191235059761,
[136],1,9.0,27.0,50.0,0.50199203187251,
"[69, 68, 226, 29, 126, 41, 180, 178, 122, 173, 207, 26, 208, 201, 182, 8, 65]",1,9.0,36.0,37.0,0.5219123505976095,
"[20, 35, 149, 2, 243, 54, 170, 46, 62, 6, 119, 129, 165, 159]",1,9.0,36.0,50.0,0.5338645418326693,
"[244, 187, 138, 100]",0,,11.0,12.0,0.0199203187250996,4.0
"[49, 75, 204, 5, 184, 156, 38, 225, 77, 231, 143]",1,,11.0,37.0,0.5179282868525896,4.0
"[224, 137]",0,,11.0,50.0,0.14741035856573706,4.0
"[246, 5, 32, 168, 211, 45, 115, 97]",1,,17.0,37.0,0.5099601593625498,4.0
"[49, 204, 5, 66, 32, 168, 57, 190, 211, 86, 45, 3, 115, 52, 97]",1,,17.0,50.0,0.5219123505976095,4.0
"[207, 39, 69, 173, 26, 44, 201, 178, 51, 126, 180, 68, 31, 182, 9, 8, 226, 29, 241, 41, 122, 140]",1,,22.0,25.0,0.5418326693227091,4.0
"[20, 35, 170, 54, 62, 119, 46, 250, 6, 149, 2]",1,,11.0,12.0,0.5418326693227091,6.0
"[2, 243, 170, 54, 62, 165, 20, 35, 119, 46, 159, 129, 149, 6]",1,,17.0,50.0,0.5378486055776892,6.0
"[49, 204, 5, 66, 32, 168, 57, 190, 211, 45, 3, 115, 52, 97]",1,,26.0,37.0,0.5059760956175299,6.0
"[207, 69, 173, 26, 65, 201, 178, 126, 180, 68, 8, 182, 226, 29, 41, 122, 208]",1,,26.0,50.0,0.5298804780876494,6.0
"[82, 25, 113]",0,,11.0,50.0,0.1553784860557769,8.0
"[175, 36]",0,,17.0,25.0,0.199203187250996,8.0
"[49, 5, 204, 12, 105, 66, 32, 152, 168, 216, 57, 190, 211, 45, 3, 115, 52, 97]",1,,22.0,25.0,0.5099601593625498,8.0
"[49, 5, 204, 12, 66, 32, 168, 64, 234, 57, 190, 211, 45, 3, 115, 52, 97]",1,,38.0,50.0,0.5258964143426295,8.0
[140],1,,,,,
"[82, 228, 25, 113, 228, 228, 228, 228, 228, 228]",0,,,,,
"[66, 5, 32, 3, 211, 45, 168, 190, 97, 204, 52, 57, 49, 115, 70]",1,,,,,
"[168, 45, 97, 211, 115, 32, 5, 245, 104, 245]",1,,,,,
"[211, 45, 97, 168, 32, 5, 115, 32, 32, 32]",1,,,,,
"[120, 157, 121, 161, 42]",1,,,,,
"[120, 157, 121, 161, 42]",0,,,,,
"[140, 29, 178, 26, 126]",0,6.0,5.0,25.0,0.15139442231075698,
[9],0,6.0,5.0,50.0,0.0199203187250996,
"[146, 136]",0,6.0,9.0,12.0,0.15139442231075698,
[218],0,6.0,15.0,37.0,0.11952191235059761,
"[207, 178, 208]",0,7.0,3.0,12.0,0.1394422310756972,
"[106, 93]",0,7.0,5.0,12.0,0.16733067729083664,
[131],0,7.0,5.0,37.0,0.0199203187250996,
[67],0,7.0,7.0,12.0,0.0199203187250996,
"[171, 215, 189, 93]",0,7.0,9.0,37.0,0.2350597609561753,
"[120, 157, 121, 161, 42]",0,7.0,15.0,37.0,0.099601593625498,
[137],0,8.0,7.0,12.0,0.11952191235059761,
"[207, 26, 201, 173, 208, 68, 126]",0,8.0,7.0,25.0,0.199203187250996,
"[82, 25, 113]",0,8.0,11.0,37.0,0.13545816733067728,
"[24, 62]",0,9.0,3.0,50.0,0.23904382470119523,
"[113, 25, 82]",0,9.0,5.0,12.0,0.19123505976095617,
"[232, 37, 214, 191, 197]",0,9.0,5.0,50.0,0.24302788844621515,
"[226, 41, 122, 180, 178, 173, 128]",0,9.0,7.0,12.0,0.22310756972111553,
"[151, 37, 191, 214]",0,9.0,9.0,50.0,0.23107569721115537,
"[151, 37, 191, 214]",0,9.0,15.0,25.0,0.23904382470119523,
[161],0,10.0,3.0,37.0,0.099601593625498,
[137],0,10.0,5.0,37.0,0.11952191235059761,
"[12, 144, 108]",0,10.0,7.0,12.0,0.22709163346613545,
[218],0,10.0,7.0,50.0,0.11952191235059761,
"[24, 62]",0,10.0,9.0,50.0,0.22709163346613545,
[143],0,10.0,15.0,37.0,0.0199203187250996,
"[202, 167]",0,,11.0,50.0,0.23904382470119523,0.1
"[82, 25, 113]",0,,35.0,37.0,0.1394422310756972,0.1
"[120, 161, 121, 157, 42]",0,,11.0,50.0,0.09561752988047809,0.5
"[138, 100]",0,,24.0,25.0,0.0199203187250996,0.9
"[37, 191, 214]",0,14.0,11.0,25.0,0.23904382470119523,
[100],0,14.0,21.0,25.0,0.0199203187250996,
"[42, 121, 161, 157, 120]",0,16.0,11.0,37.0,0.11553784860557768,
"[232, 209, 160, 67, 61]",0,20.0,31.0,37.0,0.15139442231075698,
[143],0,20.0,45.0,50.0,0.0199203187250996,
"[122, 207, 201, 173, 178]",0,2.0,5.0,37.0,0.17928286852589642,
[161],0,2.0,15.0,37.0,0.099601593625498,
[135],0,2.0,29.0,50.0,0.0199203187250996,
[131],0,3.0,5.0,12.0,0.0199203187250996,
[135],0,4.0,16.0,25.0,0.0199203187250996,
"[138, 100]",0,5.0,15.0,25.0,0.0199203187250996,
"[171, 215, 189, 93]",0,5.0,27.0,50.0,0.2350597609561753,
"[82, 25, 113]",0,12.0,5.0,50.0,0.14741035856573706,
[161],0,12.0,36.0,37.0,0.099601593625498,
"[82, 25, 113]",0,,10.0,37.0,0.18725099601593626,4.0
"[194, 150]",0,,36.0,50.0,0.22310756972111553,4.0
"[6, 170, 243, 2]",0,,,,,
